Designator,Mid X,Mid Y,Rotation,Layer
U286,429.4,-501.2,270.0,top
U287,429.4,-490.0,270.0,top
U288,429.4,-478.8,270.0,top
U289,418.2,-534.8,90.0,top
U29,575.0,-624.4,270.0,top
U290,418.2,-523.600001,90.0,top
U291,418.2,-512.400001,90.0,top
U292,418.2,-501.2,90.0,top
U293,418.2,-490.0,90.0,top
U294,418.2,-478.8,90.0,top
U295,407.0,-534.8,270.0,top
U296,407.0,-523.600001,270.0,top
U297,407.0,-512.400001,270.0,top
U298,407.0,-501.2,270.0,top
U299,407.0,-490.0,270.0,top
U3,619.8,-646.8,270.0,top
U30,575.0,-613.2,270.0,top
U300,407.0,-478.8,270.0,top
U301,463.0,-344.4,90.0,top
U302,463.0,-355.6,90.0,top
U303,463.0,-366.8,90.0,top
U304,463.0,-378.0,90.0,top
U305,463.0,-389.2,90.0,top
U306,463.0,-400.4,90.0,top
U307,474.2,-344.4,270.0,top
U308,474.2,-355.6,270.0,top
U309,474.2,-366.8,270.0,top
U31,451.8,-669.2,270.0,top
U310,474.2,-378.0,270.0,top
U311,474.2,-389.2,270.0,top
U312,474.2,-400.4,270.0,top
U313,485.4,-344.4,90.0,top
U314,485.4,-355.599999,90.0,top
U315,485.4,-366.8,90.0,top
U316,485.4,-378.0,90.0,top
U317,485.4,-389.2,90.0,top
U318,485.4,-400.4,90.0,top
U319,496.6,-344.4,270.0,top
U32,451.8,-658.0,270.0,top
U320,496.6,-355.599999,270.0,top
U321,496.6,-366.799999,270.0,top
U322,496.6,-378.0,270.0,top
U323,496.6,-389.2,270.0,top
U324,496.6,-400.4,270.0,top
U325,507.8,-344.4,90.0,top
U326,507.8,-355.599999,90.0,top
U327,507.8,-366.799999,90.0,top
U328,507.8,-378.0,90.0,top
U329,507.8,-389.2,90.0,top
U33,451.8,-646.8,270.0,top
U330,507.8,-400.4,90.0,top
U331,519.0,-344.4,90.0,top
U332,519.0,-355.6,90.0,top
U333,519.0,-366.8,90.0,top
U334,519.0,-378.0,90.0,top
U335,519.0,-389.2,90.0,top
U336,519.0,-400.4,90.0,top
U337,530.2,-344.4,270.0,top
U338,530.2,-355.6,270.0,top
U339,530.2,-366.8,270.0,top
U34,451.8,-635.6,270.0,top
U340,530.2,-378.0,270.0,top
U341,530.2,-389.2,270.0,top
U342,530.2,-400.4,270.0,top
U343,541.4,-344.4,90.0,top
U344,541.4,-355.599999,90.0,top
U345,541.4,-366.8,90.0,top
U346,541.4,-378.0,90.0,top
U347,541.4,-389.2,90.0,top
U348,541.4,-400.4,90.0,top
U349,552.6,-344.4,270.0,top
U35,451.8,-624.4,270.0,top
U350,552.6,-355.599999,270.0,top
U351,552.6,-366.799999,270.0,top
U352,552.6,-378.0,270.0,top
U353,552.6,-389.2,270.0,top
U354,552.6,-400.4,270.0,top
U355,563.8,-344.4,90.0,top
U356,563.8,-355.599999,90.0,top
U357,563.8,-366.799999,90.0,top
U358,563.8,-378.0,90.0,top
U359,563.8,-389.2,90.0,top
U36,451.8,-613.2,270.0,top
U360,563.8,-400.4,90.0,top
U361,619.8,-467.6,270.0,top
U362,619.8,-456.4,270.0,top
U363,619.8,-445.2,270.0,top
U364,619.8,-434.0,270.0,top
U365,619.8,-422.8,270.0,top
U366,619.8,-411.6,270.0,top
U367,608.6,-467.6,90.0,top
U368,608.6,-456.4,90.0,top
U369,608.6,-445.2,90.0,top
U37,440.6,-669.2,90.0,top
U370,608.6,-434.0,90.0,top
U371,608.6,-422.8,90.0,top
U372,608.6,-411.6,90.0,top
U373,597.4,-467.6,270.0,top
U374,597.4,-456.4,270.0,top
U375,597.4,-445.2,270.0,top
U376,597.4,-434.0,270.0,top
U377,597.4,-422.8,270.0,top
U378,597.4,-411.6,270.0,top
U379,586.2,-467.6,90.0,top
U38,440.6,-658.0,90.0,top
U380,586.2,-456.4,90.0,top
U381,586.2,-445.2,90.0,top
U382,586.2,-434.0,90.0,top
U383,586.2,-422.8,90.0,top
U384,586.2,-411.6,90.0,top
U385,575.0,-467.6,270.0,top
U386,575.0,-456.4,270.0,top
U387,575.0,-445.2,270.0,top
U388,575.0,-434.0,270.0,top
U389,575.0,-422.8,270.0,top
U39,440.6,-646.8,90.0,top
U390,575.0,-411.6,270.0,top
U391,451.8,-467.6,270.0,top
U392,451.8,-456.4,270.0,top
U393,451.8,-445.2,270.0,top
U394,451.8,-434.0,270.0,top
U395,451.8,-422.8,270.0,top
U396,451.8,-411.6,270.0,top
U397,440.6,-467.6,90.0,top
U398,440.6,-456.4,90.0,top
U399,440.6,-445.2,90.0,top
U4,619.8,-635.6,270.0,top
